title,destination,description,date,time,status,cost,currency,activityType,difficulty,duration,tags,latitude,longitude
Sunset Beach Bonfire,Goa,Join us for an unforgettable sunset bonfire on the beach. Bring your favorite snacks and stories!,2024-12-25,18:00,published,0,USD,Beach Activity,Easy,2 hours,beach;sunset;bonfire;social,15.2993,74.1240
Goa Food Tour,Goa,Explore the best street food spots in Goa. Taste authentic Goan cuisine with a local guide.,2024-12-26,10:00,published,500,USD,Food Tour,Easy,3 hours,food;tour;culture;dining,15.2993,74.1240
Water Sports Adventure,Goa,Jet skiing parasailing and paddleboarding. All equipment provided. Beginner-friendly!,2024-12-27,09:00,published,1500,USD,Water Sports,Moderate,4 hours,water sports;adventure;outdoor,15.2993,74.1240
Yoga & Meditation,Goa,Start your day with sunrise yoga and meditation. Perfect for relaxation and connection.,2024-12-28,06:00,published,200,USD,Wellness,Easy,1 hour,yoga;meditation;wellness;mindfulness,15.2993,74.1240
Night Market Exploration,Goa,Discover local crafts street art and hidden gems at the night market.,2024-12-28,20:00,published,300,USD,Culture,Easy,2 hours,culture;market;shopping;local,15.2993,74.1240
Hiking Trail Adventure,Goa,Scenic hiking trail with breathtaking views. Moderate difficulty. Bring water and snacks.,2024-12-29,07:00,published,0,USD,Adventure,Moderate,3 hours,hiking;adventure;nature;outdoor,15.2993,74.1240
Windsurfing at Baga Beach,Goa,Experience the thrill of windsurfing at one of Goa's most popular beaches. Equipment and instruction included.,2024-12-30,08:00,published,1200,USD,Water Sports,Challenging,2 hours,windsurfing;beach;water sports;adventure,15.5654,73.7554
Cafe La Plage Sunset,Goa,Enjoy a beautiful sunset while dining at Cafe La Plage with stunning beach views.,2024-12-30,18:30,published,500,USD,Dining,Easy,1.5 hours,dining;sunset;beach;restaurant,15.2993,74.1240
Spice Plantation Tour,Goa,Explore authentic Goan spice plantations learn about local spices and enjoy traditional Goan lunch.,2024-12-31,10:00,published,800,USD,Culture,Easy,3 hours,spice;plantation;culture;food;tour,15.2993,74.1240
Beach Bonfire,Goa,Gather around a cozy bonfire on the beach with music stories and great company.,2024-12-31,19:00,published,400,USD,Social,Easy,2 hours,beach;bonfire;social;music;evening,15.2993,74.1240
Water Sports Package,Goa,Complete water sports package including jet skiing parasailing banana boat and more.,2025-01-01,09:00,published,2000,USD,Water Sports,Moderate,4 hours,water sports;adventure;package;beach,15.2993,74.1240
Photography Tour,Goa,Capture the beauty of Goa with a guided photography tour to the most photogenic spots.,2025-01-01,16:00,published,600,USD,Creative,Easy,3 hours,photography;tour;creative;scenic,15.2993,74.1240

